bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_name,numberOfDoors,sell_id,vehicleTransmission,vendor,pts,gear,wheel,gearbox,price
внедорожник 5 дв.,SKODA,белый,1.6,110,GASOLINE,103000,2014,YETI,5.0,1102319419,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,755000
внедорожник 5 дв.,SKODA,красный,1.8,152,GASOLINE,100868,2017,YETI,5.0,1102639847,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1215000
лифтбек,SKODA,серебристый,1.8,152,GASOLINE,122000,2012,SUPERB,5.0,1102592318,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,689000
универсал 5 дв.,SKODA,красный,1.4,86,GASOLINE,367343,2008,FABIA,5.0,1101662421,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,220000
лифтбек,AUDI,чёрный,3.0,310,GASOLINE,130000,2013,A7,5.0,1102417385,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1500000
внедорожник 5 дв.,AUDI,чёрный,1.4,150,GASOLINE,19300,2017,Q3,5.0,1102658323,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1950000
седан,AUDI,серый,1.8,88,GASOLINE,377720,1990,80,4.0,1102704512,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,80000
внедорожник 5 дв.,AUDI,чёрный,2.0,249,GASOLINE,70000,2017,Q5,5.0,1101987854,ROBOT,EUROPEAN,0,ALL_WHEEL_DRIVE,LEFT,AMT,2035000
седан,AUDI,чёрный,1.8,190,GASOLINE,77000,2015,A6,4.0,1101402687,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1225000
внедорожник 5 дв.,AUDI,чёрный,2.0,180,GASOLINE,97573,2016,Q5,5.0,1101701943,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1650000
седан,AUDI,синий,2.3,133,GASOLINE,786115,1993,100,4.0,1102105220,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,69000
лифтбек,AUDI,красный,3.0,340,GASOLINE,11634,2018,A7,5.0,1101836123,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,4940000
внедорожник 5 дв.,AUDI,оранжевый,2.0,177,DIESEL,98000,2012,Q3,5.0,1102465243,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1115000
внедорожник 5 дв.,AUDI,белый,2.0,211,GASOLINE,137000,2010,Q5,5.0,1101700775,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,845000
седан,AUDI,чёрный,2.8,204,GASOLINE,92000,2013,A6,4.0,1101932243,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1049000
седан,AUDI,синий,2.0,211,GASOLINE,131000,2009,A4,4.0,1102502248,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,625000
внедорожник 5 дв.,AUDI,серебристый,3.0,238,DIESEL,183159,2009,Q7,5.0,1102524246,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1300000
внедорожник 5 дв.,AUDI,оранжевый,1.4,150,GASOLINE,10770,2019,Q3,5.0,1102150455,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,2980000
купе,AUDI,серый,1.8,160,GASOLINE,203000,2010,A5,2.0,1102579034,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,644000
универсал 5 дв.,AUDI,серебристый,2.9,450,GASOLINE,21700,2018,RS4,5.0,1102227625,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,6270000
внедорожник 5 дв.,AUDI,серый,2.0,225,GASOLINE,85000,2013,Q5,5.0,1102556972,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1299000
внедорожник 5 дв.,AUDI,чёрный,3.0,238,DIESEL,136451,2011,Q7,5.0,1102553314,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1399000
лифтбек,AUDI,чёрный,3.0,245,DIESEL,100303,2014,A7,5.0,1102624446,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,2200000
седан,AUDI,чёрный,1.4,125,GASOLINE,50101,2015,A3,4.0,1102685208,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1176000
седан,AUDI,серебристый,3.0,300,GASOLINE,98000,2012,A6,4.0,1101992143,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1045000
внедорожник 5 дв.,AUDI,чёрный,3.0,249,DIESEL,116065,2016,Q7,5.0,1102012473,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,3152000
купе,AUDI,красный,1.8,160,GASOLINE,47781,2010,A5,2.0,1102367347,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,937000
седан,AUDI,чёрный,2.0,130,GASOLINE,138000,2007,A4,4.0,1102587886,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,479000
седан,AUDI,серый,2.0,245,GASOLINE,8616,2019,A6,4.0,1102712820,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,3599000
универсал 5 дв.,AUDI,серый,2.5,180,DIESEL,250000,2002,ALLROAD,5.0,1102195217,AUTOMATIC,EUROPEAN,0,ALL_WHEEL_DRIVE,LEFT,AT,430000
лифтбек sportback,AUDI,серебристый,2.0,180,GASOLINE,105986,2009,A5,5.0,1102717761,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,880800
внедорожник 5 дв.,AUDI,синий,3.0,245,DIESEL,156000,2014,Q7,5.0,1102708935,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1795000
внедорожник 5 дв.,AUDI,серебристый,3.0,249,DIESEL,27176,2019,Q8,5.0,1102712819,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,6749000
